neg,neu,pos,compound,line
0.222,0.606,0.172,-0.128,troubleshooting ad-2500 and ad-2600 no picture scrolling b/w.
0.0,0.565,0.435,0.6597,"repost from january 13, 2004 with a better fit title."
0.0,0.806,0.194,0.34,does your apex dvd player only play dvd audio without video?
0.0,0.876,0.124,0.1779,or does it play audio and video but scrolling in black and white?
0.087,0.776,0.137,0.1531,"before you try to return the player or waste hours calling apex tech support, or run the player over with your car, try these simple troubleshooting ideas first."
0.185,0.588,0.227,0.128,no picture:  hopefully you still have the remote control.
0.0,1.0,0.0,0.0,"if you tossed it out the window, you need to fetch it."
0.0,1.0,0.0,0.0,"using the remote control, press the i/p button located on the bottom right corner of the remote."
0.0,1.0,0.0,0.0,the i/p button switches the tv display between interlace and progressive.
0.109,0.891,0.0,-0.1511,"if this doesnt bring back the picture, try pressing this button without playing a dvd."
0.0,1.0,0.0,0.0,"if you dont get video back, now you can run the player over with your car!"
0.0,0.887,0.113,0.4902,picture scrolling in b/w:  you need the remote control for this so you better get it from your dog before he burries it in the backyard.
0.0,1.0,0.0,0.0,press the p/n button located on the bottom right corner of the remote.
0.0,1.0,0.0,0.0,the p/n button switches your dvd players video output signal between pal and ntsc.
0.0,0.818,0.182,0.4404,"by pressing p/n, you should be able to get a good picture on the screen."
0.098,0.618,0.284,0.6249,for other problems go to http://www.apexdigitalinc.com/support.asp  i hope i have helped you continue to enjoy the apex dvd player with these troubleshooting tips.
0.108,0.892,0.0,-0.3182,i have done some research and experimenting with the remote when my apex ad-2500 seemed to have lost its video signal.
0.0,0.668,0.332,0.6105,im a more happier person after discovering the i/p button!
0.146,0.854,0.0,-0.34,the button was probably accidentally pushed to cause the black screen in the first place.
0.0,0.681,0.319,0.7959,"but, if you're looking for my opinion of the apex dvd player, i love it!"
0.0,0.778,0.222,0.25,it practically plays almost everything you give it.
0.0,0.888,0.112,0.4404,i've had the player for about 2 years now and it still performs nicely with the exception of an occasional wwhhhrrr sound from the motor.
0.0,0.745,0.255,0.3382,for the price it is a well spent investment!
0.0,0.545,0.455,0.3612,i would recommend buying one.
0.0,1.0,0.0,0.0,incredibe price / performance.
0.0,0.842,0.158,0.4939,"i've owned 6 or 7 dvd players since 1998.  this is by far the nicest one, in so many ways."
0.0,0.673,0.327,0.807,"it's very sleek looking with a very good front panel button layout, and it has a great feature set."
0.0,1.0,0.0,0.0,its fast-forward and rewind work much more smoothly and consistently than those of other models i've had.
0.0,0.646,0.354,0.5256,"it plays alternate video formats (vcds, svcds, cvds) very well."
0.161,0.625,0.214,0.25,and amazon.com has it for such a great price -- how can you go wrong?
0.0,1.0,0.0,0.0,i've bought one for the den and will buy a 2nd one for the bedroom.
0.0,0.51,0.49,0.5859,strengths are well listed by other reviewers.
0.0,0.882,0.118,0.34,"what got me to buy was the reviewer that said it would play dvd-rs fill of files (e., mp3s)."
0.0,0.436,0.564,0.3802,it sure does!
0.0,0.563,0.437,0.4767,that's a rare and valuable feature.
0.0,0.891,0.109,0.4926,"i have a dvd burner on my computer and a zillion mp3s, and it's a lot nicer to access them 4.5 gb at a time (dvd-r) than 0.7 gb at a time (cd-r)!"
0.0,0.906,0.094,0.4215,"another nice thing is that the unit has both optical and coax digital audio outputs, though the latter was not mentioned in the literature i'd scanned before buying."
0.0,0.833,0.167,0.4215,"saved me from having to buy an expensive optical cable, as i already had a coax cable."
0.0,0.918,0.082,0.2003,"at double-speed (2x forward speed), it still plays mp3s with sound -- they are pitch-corrected and smooth, but twice as fast!"
0.0,0.78,0.22,0.5859,"i wish it would do the same for movies, but that's one rare / cool feature you will have to forgo."
0.063,0.937,0.0,-0.3612,"weaknesses are minor: the feel and layout of the remote control are only so-so; it doesn't show the complete filenames of mp3s with really long names; you must cycle through every zoom setting (2x, 3x, 4x, 1/2x, etc."
0.159,0.841,0.0,-0.34,) before getting back to normal size [ sorry if i'm just ignorant of a way to get back to 1x quickly ].
0.0,0.565,0.435,0.8399,"if you're a bargain hunter and you want a great feature set for a rock-bottom price, i highly recommend this model."
0.0,0.798,0.202,0.4199,"update: the finish is more "" mirror "" than silver -- and i like it!"
0.337,0.663,0.0,-0.2584,doesnt play new disney movies.
0.169,0.831,0.0,-0.2584,many of our disney movies don't play on this dvd player.
0.0,1.0,0.0,0.0,i spoke to a rep. at apex and was told that a new format is being used and we wont be able to view any disney movies made in the last couple months.
0.592,0.408,0.0,-0.7003,poor quality - problem with dual-layer dvd's.
0.114,0.763,0.123,0.0516,"player has a problem with dual-layer dvd's such as alias season 1 and season 2.  for the money, get a better quality player."
0.0,0.629,0.371,0.7579,player works and looks great - if you can get the dvd's to play.
0.12,0.721,0.159,0.3182,"i know the saying is "" you get what you pay for "" but at this stage of game dvd players must have better quality than this - there is no excuse."
0.0,1.0,0.0,0.0,will never purchase apex again.
0.0,0.821,0.179,0.5859,customer service and technical support are overloaded and nonresponsive - tells you about the quality of their products and their willingness to stand behind them.
0.0,1.0,0.0,0.0,"pass this player up, and never believe the reviews on a product right before christmas!"
0.314,0.686,0.0,-0.4939,has destroyed several of my dvds and cds.
0.0,1.0,0.0,0.0,"for the first few weeks, this player was everything i expected it to be, an affordable multi-format dvd player with a stylish slim case as advertised."
0.122,0.778,0.1,-0.1027,"then my dvds would stop playing in the middle, or not even be read at all."
0.0,0.8,0.2,0.25,new cds almost always began skipping after a few plays.
